Age_Ma,T_C
2959.72,32.41
2992.89,32.23
3042.65,31.87
3071.09,31.62
3090.05,30.96
3111.37,30.41
3139.81,29.74
3146.92,30.23
3161.14,30.71
3180.09,31.32
3182.46,31.62
3196.68,32.05
3208.53,31.08
3222.75,30.41
3229.86,29.56
3239.34,28.65
3248.82,27.74
3265.4,27.74
3279.62,28.29
3293.84,28.65
3308.06,29.2
3322.27,29.2
3341.23,28.65
3348.34,28.22
3360.19,28.04
3374.41,27.8
3398.1,28.04
3402.84,27.56
3409.95,27.01
3417.06,26.46
3417.06,25.98
3419.43,25.37
3424.17,24.89
3424.17,24.52
