Node,Taxon1,Taxon2,Time,Title,Reference,Year,Data
LPBCA,"Chloroflexi (Chloroflexia)","Cyanobacteria (Cyanobacteria)",2761.3,"The TimeTree of Life","Hedges et al.",2009,"1 tree"
LPBCA,"Chloroflexi (Chloroflexia)","Cyanobacteria (Cyanobacteria)",3019.9,"Divergence and phylogeny of Firmicutes from the Cuatro Ciénegas Basin, Mexico: a window to an ancient ocean.","Moreno-Letelier et al.",2012,"1 tree"
LPBCA,"Chloroflexi (Chloroflexia)","Cyanobacteria (Cyanobacteria)",3100,"Estimated minimal divergence times of the major bacterial and archaeal phyla","Sheridan et al.",2003,"1 tree"
LPBCA,"Chloroflexi (Chloroflexia)","Cyanobacteria (Cyanobacteria)",3305.6,"Parallel Evolution and Horizontal Gene Transfer of the pst Operon in Firmicutes from Oligotrophic Environments.","Moreno-Letelier et al.",2011,"1 tree"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1004.8,"Rock-inhabiting fungi originated during periods of dry climate in the late Devonian and middle Triassic","Gueidan et al.",2011,"1 tree"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1085,"The timing of eukaryotic evolution: does a relaxed molecular clock reconcile proteins and fossils?","Douzery et al.",2004,"1 tree"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1091.5,"A molecular time-scale for eukaryote evolution recalibrated with the continuous microfossil record.","Berney et al.",2006,"1 tree"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1100,"An estimate of divergence time of Parazoa and Eumetazoa and that of Cephalochordata and Vertebrata by aldolase and triose phosphate isomerase clocks.","Nikoh et al.",1997,"3 trees"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1334,"Early evolution of the bilateria.","Hausdorf et al.",2000,"1 tree"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1530,"Molecular clocks do not support the Cambrian explosion.","Blair et al.",2005,"2 trees"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1547,"Divergence time estimates for the early history of animal phyla and the origin of plants, animals and fungi","Wang et al.",1999,"1 tree"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1594,"The TimeTree of Life","Hedges et al.",2009,"1 tree"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1600,"Molecular evidence for the early colonization of land by fungi and plants.","Heckman et al.",2001,"1 tree"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1671,"Evolutionary sequence analysis of complete eukaryote genomes.","Blair et al.",2005,"4 trees"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",1781.1,"Estimating the timing of early eukaryotic diversification with multigene molecular clocks.","Parfrey et al.",2011,"1 tree"
LECA,"Cryptophyta (Cryptophyceae)","Saccharomyceta (Saccharomyceta)",2230,"A genomic timescale for the origin of eukaryotes.","Hedges et al.",2001,"3 trees"
LGPCA,"Xanthomonas (Xanthomonas)","Yersinia (Yersinia-Yersiniaceae)",1733,"The Timetree of Prokaryotes: New Insights into Their Evolution and Speciation.","Marin et al.",2016,"1 tree"
LGPCA,"Xanthomonas (Xanthomonas)","Yersinia (Yersinia-Yersiniaceae)",1750,"A genomic timescale of prokaryote evolution: insights into the origin of methanogenesis, phototrophy, and the colonization of land.","Battistuzzi et al.",2004,"2 trees"
LGPCA,"Xanthomonas (Xanthomonas)","Yersinia (Yersinia-Yersiniaceae)",1805.8,"The TimeTree of Life","Hedges et al.",2009,"1 tree"
LGPCA,"Xanthomonas (Xanthomonas)","Yersinia (Yersinia-Yersiniaceae)",1805.8,Eubacteria,"Battistuzzi et al.",2009,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",959.8,"A molecular time-scale for eukaryote evolution recalibrated with the continuous microfossil record.","Berney et al.",2006,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",966.1,"Rock-inhabiting fungi originated during periods of dry climate in the late Devonian and middle Triassic","Gueidan et al.",2011,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",973.8,"Dating the molecular clock in fungi  how close are we?","Berbee et al.",2010,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",984,"The timing of eukaryotic evolution: does a relaxed molecular clock reconcile proteins and fossils?","Douzery et al.",2004,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",985,"The Ediacaran emergence of bilaterians: congruence between the genetic and the geological fossil records.","Peterson et al.",2008,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1017,"The adaptive radiation of lichen-forming Teloschistaceae is associated with sunscreening pigments and a bark-to-rock substrate shift.","Gaya et al.",2015,"2 trees"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1150,"Molecular taxonomy, origins and evolution of freshwater ascomycetes","Vijaykrishna et al.",2006,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1272,"Determining divergence times with a protein clock: update and reevaluation.","Feng et al.",1997,"4 trees"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1277.1,"Ancestral state reconstruction of ontogeny supports a bilaterian affinity for Dickinsonia.","Gold et al.",2015,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1295.7,"Estimating the timing of early eukaryotic diversification with multigene molecular clocks.","Parfrey et al.",2011,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1368,"The TimeTree of Life","Hedges et al.",2009,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1392,"Estimation of divergence times from multiprotein sequences for a few mammalian species and several distantly related organisms.","Nei et al.",2001,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1398,"Evolutionary sequence analysis of complete eukaryote genomes.","Blair et al.",2005,"4 trees"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1538,"Divergence time estimates for the early history of animal phyla and the origin of plants, animals and fungi","Wang et al.",1999,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1547,"A molecular timescale of eukaryote evolution and the rise of complex multicellular life.","Hedges et al.",2004,"1 tree"
LAFCA,"Saccharomyceta (Saccharomyceta)","Homo sapiens (Homo sapiens)",1600,"Molecular evidence for the early colonization of land by fungi and plants.","Heckman et al.",2001,"1 tree"
