Node,Taxon1,Taxon2,Time,Title,Reference,Year,Data
LBCA,"Aquificae (Aquificae)","Firmicutes (Bacillota)",3460,"Estimated minimal divergence times of the major bacterial and archaeal phyla","Sheridan et al.",2003,"1 tree"
LBCA,"Aquificae (Aquificae)","Firmicutes (Bacillota)",3977,"A genomic timescale of prokaryote evolution: insights into the origin of methanogenesis, phototrophy, and the colonization of land.","Battistuzzi et al.",2004,"2 trees"
LBCA,"Aquificae (Aquificae)","Firmicutes (Bacillota)",4024.8,"A major clade of prokaryotes with ancient adaptations to life on land.","Battistuzzi et al.",2009,"1 tree"
LBCA,"Aquificae (Aquificae)","Firmicutes (Bacillota)",4177.6,"The TimeTree of Life","Hedges et al.",2009,"1 tree"
LBCA,"Aquificae (Aquificae)","Firmicutes (Bacillota)",4178.6,Eubacteria,"Battistuzzi et al.",2009,"1 tree"
LBCA,"Aquificae (Aquificae)","Firmicutes (Bacillota)",4180.2,"The Timetree of Prokaryotes: New Insights into Their Evolution and Speciation.","Marin et al.",2016,"1 tree"
LACA,"Crenarchaeota (Thermoproteota)","Euryarchaeota (Euryarchaeota)",3460,"Estimated minimal divergence times of the major bacterial and archaeal phyla","Sheridan et al.",2003,"1 tree"
LACA,"Crenarchaeota (Thermoproteota)","Euryarchaeota (Euryarchaeota)",3800,"Not so old Archaea - the antiquity of biogeochemical processes in the archaeal domain of life.","Blank et al.",2009,"1 tree"
LACA,"Crenarchaeota (Thermoproteota)","Euryarchaeota (Euryarchaeota)",3806,"The TimeTree of Life","Hedges et al.",2009,"1 tree"
LACA,"Crenarchaeota (Thermoproteota)","Euryarchaeota (Euryarchaeota)",4015.4,"A major clade of prokaryotes with ancient adaptations to life on land.","Battistuzzi et al.",2009,"1 tree"
LACA,"Crenarchaeota (Thermoproteota)","Euryarchaeota (Euryarchaeota)",4112,"A genomic timescale of prokaryote evolution: insights into the origin of methanogenesis, phototrophy, and the colonization of land.","Battistuzzi et al.",2004,"2 trees"
LACA,"Crenarchaeota (Thermoproteota)","Euryarchaeota (Euryarchaeota)",4166.9,"The Timetree of Prokaryotes: New Insights into Their Evolution and Speciation.","Marin et al.",2016,"1 tree"
LACA,"Crenarchaeota (Thermoproteota)","Euryarchaeota (Euryarchaeota)",4430.5,"Horizontal gene transfer constrains the timing of methanogen evolution.","Wolfe et al.",2018,"1 tree"
AECA,"Archaea (Archaea)","Eukaryota (Eukaryota)",1840,"A genomic timescale for the origin of eukaryotes.","Hedges et al.",2001,"3 trees"
AECA,"Archaea (Archaea)","Eukaryota (Eukaryota)",2520,"The age of the common ancestor of eukaryotes and prokaryotes: statistical inferences.","Gu et al.",1997,"1 tree"
AECA,"Archaea (Archaea)","Eukaryota (Eukaryota)",2986,"Determining divergence times with a protein clock: update and reevaluation.","Feng et al.",1997,"4 trees"
AECA,"Archaea (Archaea)","Eukaryota (Eukaryota)",3036,"Estimation of divergence times from multiprotein sequences for a few mammalian species and several distantly related organisms.","Nei et al.",2001,"1 tree"
AECA,"Archaea (Archaea)","Eukaryota (Eukaryota)",4200,"The TimeTree of Life","Hedges et al.",2009,"1 tree"
AECA,"Archaea (Archaea)","Eukaryota (Eukaryota)",4210.6,"The Timetree of Prokaryotes: New Insights into Their Evolution and Speciation.","Marin et al.",2016,"1 tree"
AECA,"Archaea (Archaea)","Eukaryota (Eukaryota)",4250,"A major clade of prokaryotes with ancient adaptations to life on land.","Battistuzzi et al.",2009,"1 tree"
AECA,"Archaea (Archaea)","Eukaryota (Eukaryota)",4290,"Estimated minimal divergence times of the major bacterial and archaeal phyla","Sheridan et al.",2003,"1 tree"
LPBCA,"Chloroflexi (Chloroflexia)","Cyanobacteria (Cyanobacteria)",2561.3,"A major clade of prokaryotes with ancient adaptations to life on land.","Battistuzzi et al.",2009,"1 tree"
LPBCA,"Chloroflexi (Chloroflexia)","Cyanobacteria (Cyanobacteria)",2675.8,"The Timetree of Prokaryotes: New Insights into Their Evolution and Speciation.","Marin et al.",2016,"1 tree"
LPBCA,"Chloroflexi (Chloroflexia)","Cyanobacteria (Cyanobacteria)",2761.3,Eubacteria,"Battistuzzi et al.",2009,"1 tree"
