"strains.ID_strains","strains.Culture collection no.","strains.Species","strains.Strain Designation","strains_tax_PNU.Species","strains_tax_PNU.Full Scientific Name (LPSN)","strains_tax_PNU.ID_reference","strains_taxid.tax_id","strains_taxid.tax_level","culture_temp.Temperature","culture_temp.ID_reference","culture_pH.pH","culture_pH.ID_reference","met_antibiogram_v2.Incubation temperature [°C]","met_antibiogram_v2.Oxygen condition","met_antibiogram_v2.ID_reference","oxygen_tolerance.Oxygen tolerance","oxygen_tolerance.ID_reference","nutrition_type.Nutrition type","nutrition_type.ID_reference","sequence_genomes.INSDC accession","sequence_genomes.BV-BRC accession","sequence_genomes.IMG accession","sequence_genomes.ID_reference","GC_content.GC-content","GC_content.ID_reference"
132357,"DSM 100412, JCM 30830","Acidithiobacillus ferriphilus","M20","Acidithiobacillus ferriphilus","Acidithiobacillus ferriphilus Falagán and Johnson 2016",20215,1689834,"species","30",43830,"2",43830,NA,NA,NA,"facultative anaerobe",43830,"chemolithotroph",43830,"GCA_018854775",1689834.8,NA,66792,"57.4",43830
159192,"DSM 105150, KCTC 4683","Acidithiobacillus sulfuriphilus","CJ-2","Acidithiobacillus sulfuriphilus","Acidithiobacillus sulfuriphilus Falagán et al. 2019",20215,1867749,"species","28",66015,"3",68181,NA,NA,NA,"aerobe",67771,"chemolithoautotroph",68181,"GCA_003721225",1867749.3,2840828123,68181,"61.5",66015
133033,"DSM 27394, LMG 28340","Acidobacterium ailaaui","PMMR2","Acidobacterium ailaaui","Acidobacterium ailaaui Myers and King 2016",20215,1382359,"species","15.0-55.0",25069,"4.5-7.0",25069,NA,NA,NA,"aerobe",25069,"chemoorganotroph",25069,"GCA_000688455",1382359.3,2558860986,66792,"57.2",25069
141146,"CGMCC 1.16012, KCTC 52653, DSM 109121","Actibacterium pelagium","JN33","Actibacterium pelagium","Actibacterium pelagium Guo et al. 2017",20215,2029103,"species","10-35",44067,"6.5-8.5",44067,NA,NA,NA,"aerobe",44067,"chemoorganotroph",44067,"GCA_002285415",2029103.3,2832254508,66792,"57.8",44067
166411,"KACC 15529, NBRC 108213, IMCC 3088","Aequoribacter fuscus","","Aequoribacter fuscus","Aequoribacter fuscus Li et al. 2021",20215,2518989,"species","10-35",68362,"6-8.5",68362,NA,NA,NA,"obligate aerobe",68362,"chemoheterotroph",68362,"GCA_009910365",2518989.3,8062752921,68362,"51.7",68362
5477,"DSM 14238, ACAM 643, CIP 107454, LMG 21432","Aequorivita sublithincola","9-3","Aequorivita sublithincola","Aequorivita sublithincola Bowman and Nichols 2002",20215,101385,"species","2-10",5266,"7-7.5",43341,NA,NA,NA,"obligate aerobe",43341,"chemoheterotroph",43341,"GCA_000265385",746697.3,2509276063,66792,"36-37",5266
258,"DSM 11577, CECT 4342, LMG 16330, CIP 104608, ATCC 51929","Aeromonas encheleia","S181, S-181","Aeromonas encheleia","Aeromonas encheleia Esteve et al. 1995",20215,73010,"species","28",4328,"9.0",23255,NA,NA,NA,"facultative anaerobe",119022,"chemoorganotroph",23255,"GCA_000819825",73010.3,2639762835,66792,"60.0",4328
4196,"DSM 16960, ATCC BAA-758, JCM 12091","Aeropyrum camini","SY1","Aeropyrum camini","Aeropyrum camini Nakagawa et al. 2004",20215,229980,"species","85",6671,"6.5-8.8",23223,NA,NA,NA,"aerobe",23223,"heterotroph",23223,"GCA_000591035",1198449.6,2554235461,66792,"54.4",6671
4195,"DSM 11879, JCM 9820, ATCC 700893, NBRC 100138","Aeropyrum pernix","K1","Aeropyrum pernix","Aeropyrum pernix Sako et al. 1996",20215,56636,"species","90",4521,"5-9",23222,NA,NA,NA,"aerobe",23222,"heterotroph",23222,"GCA_000011125",272557.25,2923402010,66792,"67",4521
159185,"DSM 105662, NBRC 112897","Aerosticca soli","Dysh456","Aerosticca soli","Aerosticca soli Watanabe et al. 2020",20215,2010829,"species","45",66008,"4.3-7.9",68269,NA,NA,NA,"aerobe",68269,"chemoorganotroph",68269,"GCA_003967035",2010829.3,2989055730,68269,"68",68269
437,"DSM 15266, KCTC 12043, IMSNU 14007, CIP 108412","Aestuariibacter halophilus","JC2043","Aestuariibacter halophilus","Aestuariibacter halophilus Yi et al. 2004",20215,226011,"species","40",5783,"6-11",23286,NA,NA,NA,"obligate aerobe",23286,"chemoheterotroph",23286,"GCA_020687825",226011.4,8047120848,66792,"54.00",23286
438,"DSM 15300, KCTC 12042, IMSNU 14006, CIP 108413","Aestuariibacter salexigens","JC2042","Aestuariibacter salexigens","Aestuariibacter salexigens Yi et al. 2004",20215,226010,"species","35",5834,"7-8",23286,NA,NA,NA,"obligate aerobe",23286,"chemoheterotroph",23286,"GCA_000429145",1120953.3,2524614540,66792,"48.00",23286
132534,"DSM 28305, CGMCC 4.7180, NRRL B-59115, JCM 32487","Agromyces binzhouensis","OAct-353, OAct353","Agromyces binzhouensis","Agromyces binzhouensis Chen et al. 2016",20215,1817495,"species","12-36",43631,"5-8",43631,NA,NA,NA,"aerobe",43631,"heterotroph",43631,"GCA_004135055",1817495.5,2866589525,67770,"69.6",24323
159616,"DSM 105049, CGMCC 4.7419","Agromyces tardus","SJ-23","Agromyces tardus","Agromyces tardus Sun et al. 2019",20215,2583849,"species","28",66442,"6-10",68199,NA,NA,NA,"aerobe",68199,"heterotroph",68199,"GCA_042655905",NA,NA,124043,"71.8",68199
133121,"MCCC 1H00140, KCTC 52228","Algoriphagus resistens","NH1","Algoriphagus resistens","Algoriphagus resistens Han et al. 2017",20215,1750590,"species","13-37",25311,"5.5-8.5",25311,NA,NA,NA,"facultative anaerobe",25311,"heterotroph",25311,"GCA_001442615",NA,2724679001,66792,"41.9",67771
166399,"DSM 100707, LMG 29076","Alienimonas californiensis","CA12","Alienimonas californiensis","Alienimonas californiensis Boersma et al. 2021",20215,2527989,"species","20",68541,"5.0-9.0",68088,NA,NA,NA,"aerobe",68088,"heterotroph",68088,"GCA_007743815",2527989.3,2883481223,66792,"70.1",68088
166424,"MCCC 1H00223, KCTC 52891","Aliidiomarina celeris","F3105","Aliidiomarina celeris","Aliidiomarina celeris Wang et al. 2019",20215,2249428,"species","4-45",67782,"6.5-9.5",67782,NA,NA,NA,"facultative anaerobe",67782,"heterotroph",67782,"GCA_003316875",2249428.3,2831692965,67782,"49.5",67782
140844,"IBRC-M 10763, CECT 8339","Aliidiomarina iranensis","GBPy7","Aliidiomarina iranensis","Aliidiomarina iranensis Amoozegar et al. 2016",20215,1434071,"species","4-45",43647,"7-10",43647,NA,NA,NA,"facultative anaerobe",43647,"heterotroph",43647,"GCA_003987135",1434071.3,2889949872,66792,"51.6",43647
140532,"CECT 8340, IBRC-M 10764","Aliidiomarina sedimenti","GBSy1","Aliidiomarina sedimenti","Aliidiomarina sedimenti Shahinpei et al. 2017",20215,1933879,"species","34",43316,"7-10",43316,NA,NA,NA,"aerobe",43316,"heterotroph",43316,"GCA_003986955",1933879.3,2890096513,66792,"51.2",43316
158280,"DSM 104669, JCM 31859, JAM 119","Aliiroseovarius lamellibrachiae","","Aliiroseovarius lamellibrachiae","Aliiroseovarius lamellibrachiae (Nogi et al. 2017) Zhang et al. 2023",20215,1924933,"species","30",64940,"7",65416,NA,NA,NA,"aerobe",65416,"chemoorganotroph",65416,"GCA_018599245",1924933.3,2995433469,66792,"57",64940
140294,"DSM 26418, VKM B-2746","Alkaliphilus namsaraevii","X-07-02","Alkaliphilus namsaraevii","Alkaliphilus namsaraevii Zakharyuk et al. 2017",20215,1454184,"species","30",43228,"7.0-10.7",43228,NA,NA,NA,"aerotolerant",43228,"chemoorganoheterotroph",43228,"",NA,NA,NA,"32.6",42901
160373,"DSM 100017, JCM 30644","Alkaliphilus pronyensis","LacV","Alkaliphilus pronyensis","Alkaliphilus pronyensis Postec et al. 2022",20215,1482732,"species","30",67279,"8.2-10.0",69644,NA,NA,NA,"anaerobe",69644,"organoheterotroph",69644,"GCA_009017275",1482732.3,NA,67770,"33.9",67279
160178,"DSM 100337, JCM 30643","Alkaliphilus serpentinus","LacT","Alkaliphilus serpentinus","Alkaliphilus serpentinus Postec et al. 2022",20215,1482731,"species","30",67082,"7.5-10.6",69644,NA,NA,NA,"anaerobe",69644,"organoheterotroph",69644,"GCA_009017255",1482731.3,NA,67770,"37",67082
159775,"JCM 32501, CCTCC AB 2017284","Alsobacter soli","SH9","Alsobacter soli","Alsobacter soli Sun et al. 2018",20215,2109933,"species","15-40",66785,"7",66785,NA,NA,NA,"obligate aerobe",66785,"chemoorganotroph",66785,"GCA_003004785",2109933.3,2786546835,67770,"68.5",67770
164197,"JCM 32118, CGMCC 1.16739, MCC 3010","Alteribacter natronophilus","M30","Alteribacter natronophilus","Alteribacter natronophilus (Menes et al. 2020) Gupta et al. 2020",20215,2583810,"species","28",67770,"8.0-12.0",69523,NA,NA,NA,"obligate aerobe",69523,"heterotroph",69523,"GCA_006007885",2583810.3,2964282322,67770,"48.9",67770
449,"DSM 15446, KCTC 12195, KMM 3600, LMG 22532, CIP 108794","Alteromonas addita","R10SW13","Alteromonas stellipolaris","Alteromonas stellipolaris Van Trappen et al. 2004",20215,233316,"species","25",5806,"6.0-10.0",23289,NA,NA,NA,"aerobe",23289,"chemoorganotroph",23289,"GCA_001562195",287094.3,2687453643,66792,"43.0",5806
159352,"DSM 106819, ATCC 43554, RCC 5933, CIP 111645","Alteromonas fortis","1, 1T","Alteromonas fortis","Alteromonas fortis Barbeyron et al. 2019",20215,NA,"","25",66175,"5.5-10.0",68000,NA,NA,NA,"aerobe",68000,"chemoorganotroph",68000,"",NA,NA,NA,"43.9",68000
