"strains.ID_strains","strains.Culture collection no.","strains.Species","strains.Strain Designation","strains_tax_PNU.Species","strains_tax_PNU.Full Scientific Name (LPSN)","strains_tax_PNU.ID_reference","strains_taxid.tax_id","strains_taxid.tax_level","culture_temp.Temperature","culture_temp.ID_reference","culture_pH.pH","culture_pH.ID_reference","met_antibiogram_v2.Incubation temperature [°C]","met_antibiogram_v2.Oxygen condition","met_antibiogram_v2.ID_reference","oxygen_tolerance.Oxygen tolerance","oxygen_tolerance.ID_reference","nutrition_type.Nutrition type","nutrition_type.ID_reference","sequence_genomes.INSDC accession","sequence_genomes.BV-BRC accession","sequence_genomes.IMG accession","sequence_genomes.ID_reference","GC_content.GC-content","GC_content.ID_reference"
2090,"DSM 15908, ANMR 0165, JCM 11604, MCC-UPLB 1331","Caldisphaera lagunensis","IC-154","Caldisphaera lagunensis","Caldisphaera lagunensis Itoh et al. 2003",20215,200415,"species","75",6178,"2.3-5.4",23168,NA,NA,NA,"anaerobe",6178,"chemoorganotroph",23168,"GCA_000317795",1056495.6,2510065009,66792,"31",6178
5500,"DSM 14237, ACAM 630, CIP 107446, LMG 21425","Cellulophaga algicola","IC166","Cellulophaga algicola","Cellulophaga algicola Bowman 2000",20215,59600,"species","10-20",5265,"7.5",43416,NA,NA,NA,"aerobe",43416,"chemoorganotroph",43416,"GCA_000186265",688270.3,649633031,66792,"36-38",5265
5499,"DSM 7489, ATCC 23178, IAM 14306, Cy l20, JCM 8516, CECT 5014, CIP 103822, IFO 14961, KCTC 2913, KCTC 2914, LMG 1344, LMG 8371, NBRC 14961, NCIMB 1423, VKM B-1433, DSM 2039, LMG 14961","Cellulophaga lytica","LIM -21, LIM 21","Cellulophaga lytica","Cellulophaga lytica (Lewin 1969) Johansen et al. 1999",20215,979,"species","28",3188,"7-7.5",43342,NA,NA,NA,"aerobe",43342,"chemoheterotroph",43342,"GCA_000190595",867900.3,649633032,66792,"33.2",3188
140658,"NCDO 2697, NCIMB 10462, DSM 16015","Cellvibrio japonicus","Ueda107","Cellvibrio japonicus","Cellvibrio japonicus Humphry et al. 2003",20215,155077,"species","17-47",43405,"6-9",43405,NA,NA,NA,"aerobe",43405,"chemoorganotroph",43405,"",NA,NA,NA,"53.3",43405
133181,"BCRC 80923, LMG 29289, KCTC 42982, DSM 107335","Chitinibacter fontanus","STM-7","Chitinibacter fontanus","Chitinibacter fontanus Sheu et al. 2016",20215,1737446,"species","15.0-37.0",24960,"6.0-8.0",24960,NA,NA,NA,"aerobe",24960,"chemoorganotroph",24960,"GCA_013423785",1737446.3,2927923272,66792,"52.4",24960
133098,"DSM 29225, JCM 30533, VKM B-2978","Chloroflexus islandicus","isl-2","Chloroflexus islandicus","Chloroflexus islandicus Gaisin et al. 2017",20215,1707952,"species","46-59",43175,"7.5-7.7",43175,NA,NA,NA,"aerobe",43175,"photoheterotroph",43175,"GCA_001650695",1707952.4,2775507287,67770,"59.65",43175
140621,"NBRC 106750, KCTC 13722, JCM 16712, CCUG 59101","Chryseomicrobium palamuruense","PU1","Chryseomicrobium palamuruense","Chryseomicrobium palamuruense Pindi et al. 2016",20215,682973,"species","37",43143,"7-10",43143,NA,NA,NA,"aerobe",43143,"chemoorganotroph",43143,"GCA_042649045",NA,NA,124043,"48.5",67770
163760,"JCM 30318, LMG 30359","Chryseotalea sanaruensis","Ys","Chryseotalea sanaruensis","Chryseotalea sanaruensis Maejima et al. 2020",20215,2482724,"species","30",67770,"6.0-11.0",68059,NA,NA,NA,"aerobe",68059,"heterotroph",68059,"GCA_003990915",2482724.3,2882207491,68059,"38.9",67770
24814,"DSM 22515","Chthoniobacter flavus","Ellin428","Chthoniobacter flavus","Chthoniobacter flavus Sangwan et al. 2004",20215,191863,"species","25",21325,"4-7",43403,NA,NA,NA,"aerobe",43403,"heterotroph",43403,"GCA_004341915",191863.3,2795385450,66792,"60.7",43403
133409,"JCM 30603, KCTC 42450","Chthonobacter albigriseus","ED7","Chthonobacter albigriseus","Chthonobacter albigriseus Kim et al. 2017",20215,1683161,"species","20-42",25245,"7.5-8.0",25245,NA,NA,NA,"aerobe",25245,"oligotroph",25245,"GCA_013839445",1683161.3,2994720383,67770,"71.8",67770
158415,"DSM 104983, VKM B-2846","Cohnella kolymensis","20.16T","Cohnella kolymensis","Cohnella kolymensis Kudryashova et al. 2018",20215,1590652,"species","30",65091,"4.0-8.0",66651,NA,NA,NA,"facultative anaerobe",66651,"chemoorganotroph",66651,"GCA_000829465",1590652.3,2630968607,124043,"50.50",66651
132361,"DSM 26017, CGMCC 1.12294","Comamonas phosphati","WYH22-41","Comamonas phosphati","Comamonas phosphati Xie et al. 2016",20215,1211803,"species","30",44040,"7",44040,NA,NA,NA,"facultative anaerobe",44040,"chemoorganotroph",44040,"GCA_014637085",1211803.3,2995906363,66792,"62.4",24150
140817,"KEMB 563-466, JCM 31169","Comamonas sediminis","S3","Comamonas sediminis","Comamonas sediminis Subhash et al. 2016",20215,1783360,"species","12-45",43607,"6.1-8.8",43607,NA,NA,NA,"aerobe",43607,"chemoorganoheterotroph",43607,"GCA_041107495",NA,NA,124043,"68.3",43607
140750,"KCTC 22549, CMPUJ U369, USBA 369","Consotaella salsifontis","","Consotaella salsifontis","Consotaella salsifontis Díaz-Cárdenas et al. 2017",20215,1365950,"species","20-40",43528,"5-9",43528,NA,NA,NA,"facultative aerobe",43528,"chemoheterotroph",43528,"GCA_900167365",NA,2657245368,124043,"64.3",43528
3195,"DSM 44549, JCM 11189, FERM 9246, AJ 12310, CCM 7123, CCUG 47130, CCUG 48037, CIP 107632, NBRC 100395","Corynebacterium efficiens","AJ-12310, YS-314","Corynebacterium efficiens","Corynebacterium efficiens Fudou et al. 2002",20215,152794,"species","37",20072,"",23185,NA,NA,NA,"aerobe",23185,"chemoorganotroph",23185,"GCA_000011305",196164.6,644736345,66792,"58.8",11854
140814,"KCTC 42980, NBRC 111834, DSM 108273, KCTC 42981","Cribrihabitans pelagius","KMU-32","Cribrihabitans pelagius","Cribrihabitans pelagius Yoon et al. 2016",20215,1765746,"species","25-37",43601,"6-9",43601,NA,NA,NA,"obligate aerobe",43601,"chemoheterotroph",43601,"GCA_048820915",NA,NA,124043,"63.7",43601
140669,"CCTCC AA 2016026, DSM 103787","Cumulibacter manganitolerans","2-36","Cumulibacter manganitolerans","Cumulibacter manganitolerans Huang et al. 2017",20215,1884992,"species","15-37",43433,"4-10",43433,NA,NA,NA,"obligate aerobe",43433,"chemoheterotroph",43433,"GCA_009602465",1884992.3,2887435738,66792,"70.1",64868
141129,"JCM 30642, VKM B-2941","Cuniculiplasma divulgatum","S5","Cuniculiplasma divulgatum","Cuniculiplasma divulgatum Golyshina et al. 2016",20215,1673428,"species","10-48",44041,"0.5-4.0",44041,NA,NA,NA,"facultative anaerobe",44041,"organoheterotroph",44041,"GCA_900083515",1673428.4,2773858060,66792,"37.3",67770
3841,"DSM 14783, JCM 11476, NBRC 101012","Deferribacter desulfuricans","SSM1","Deferribacter desulfuricans","Deferribacter desulfuricans Takai et al. 2003",20215,197162,"species","62",5537,"5.0-7.5",23104,NA,NA,NA,"anaerobe",5537,"heterotroph",23104,"GCA_000010985",639282.3,646564525,66792,"38.6",5537
132415,"DSM 29363, JCM 30394","Deferrisoma palaeochoriense","MAG-PB1","Deferrisoma palaeochoriense","Deferrisoma palaeochoriense Pérez-Rodríguez et al. 2016",20215,1573172,"species","30-70",44025,"5.5-8.0",44025,NA,NA,NA,"obligate anaerobe",44025,"mixotroph",44025,"",NA,NA,NA,"66.7",24204
140462,"HAMBI 3672, JCM 19277, VKM B-3058","Dehalogenimonas formicexedens","NSZ-14","Dehalogenimonas formicexedens","Dehalogenimonas formicexedens Key et al. 2017",20215,1839801,"species","30-34",43177,"5.5-7.5",43177,NA,NA,NA,"anaerobe",43177,"chemotroph",43177,"GCA_001953175",NA,2773857847,66792,"54.1",43177
3901,"DSM 21458, HAMBI 2721","Deinobacterium chartae","K-bf-PMWA-4.1, K4.1","Deinobacterium chartae","Deinobacterium chartae Ekman et al. 2011",20215,521158,"species","37",15718,"6.0-10.3",23351,NA,NA,NA,"aerobe",23351,"chemoorganotroph",23351,"GCA_014202645",521158.3,2861587418,66792,"66.8",15718
3987,"DSM 12345","Desulfofrigus fragile","LSv21","Desulfofrigus fragile","Desulfofrigus fragile Knoblauch et al. 1999",20215,84983,"species","8",4706,"7.0-7.4",23372,NA,NA,NA,"anaerobe",4706,"chemoorganotroph",23372,"",NA,NA,NA,"52.1",4706
3988,"DSM 12341","Desulfofrigus oceanense","ASv26","Desulfofrigus oceanense","Desulfofrigus oceanense Knoblauch et al. 1999",20215,84982,"species","8",4702,"7.0-7.5",23372,NA,NA,NA,"anaerobe",4702,"chemoorganotroph",23372,"",NA,NA,NA,"52.8",4702
4034,"DSM 9292","Desulfonatronovibrio hydrogenovorans","Z-7935","Desulfonatronovibrio hydrogenovorans","Desulfonatronovibrio hydrogenovorans Zhilina et al. 1997",20215,53245,"species","30",3532,"10.2",23206,NA,NA,NA,"anaerobe",3532,"lithoheterotroph",23206,"GCA_000686525",1121413.3,2563366506,66792,"48.6",23206
4065,"DSM 16749, VKM B-2329","Desulfonatronum cooperativum","Z-7999","Desulfonatronum cooperativum","Desulfonatronum cooperativum Zhilina et al. 2005",20215,292807,"species","35",6492,"6.7-10.3",23210,NA,NA,NA,"anaerobe",6492,"lithotroph",23210,"",NA,NA,NA,"56.5",6492
4064,"DSM 14708, ATCC BAA-395, MLF 1, CIP 107913","Desulfonatronum thiodismutans","","Desulfonatronum thiodismutans","Desulfonatronum thiodismutans Pikuta et al. 2003",20215,159290,"species","35",5494,"8.0-10.0",23209,NA,NA,NA,"anaerobe",5494,"lithoheterotroph",23209,"GCA_000717475",159290.4,2609460260,124043,"63",5494
132676,"DSM 24088, JCM 31386","Desulforamulus aquiferis","Bs105","Desulforamulus aquiferis","Desulforamulus aquiferis (Berlendis et al. 2016) Watanabe et al. 2021",20215,1397668,"species","30-45",25005,"6.2-8.0",25005,NA,NA,NA,"anaerobe",25005,"chemolithoautotroph",25005,"GCA_004143605",1397668.3,NA,67770,"42.9",24465
132677,"DSM 24093, JCM 31387","Desulforamulus profundi","Bs107","Desulforamulus profundi","Desulforamulus profundi (Berlendis et al. 2016) Watanabe et al. 2021",20215,1383067,"species","60",25005,"6.3-7.8",25005,NA,NA,NA,"anaerobe",25005,"chemolithoautotroph",25005,"GCA_002607855",1383067.4,2802429666,67770,"48.7",24466
4167,"DSM 19430, JCM 14597, KCTC 5573","Desulfovibrio psychrotolerans","JS, JS1","Desulfovibrio psychrotolerans","Desulfovibrio psychrotolerans Sasi Jyothsna et al. 2008",20215,415242,"species","10-50",23215,"8.5-9.0",23215,NA,NA,NA,"anaerobe",8011,"chemoorganoheterotroph",23215,"GCA_013340305",415242.3,2995994360,66792,"49.3",8011
140298,"DSM 101677, MCCC 1A01868","Desulfurobacterium indicum","K6013","Desulfurobacterium indicum","Desulfurobacterium indicum Cao et al. 2017",20215,1914305,"species","65",43270,"5-8",43270,NA,NA,NA,"anaerobe",43270,"chemolithoautotroph",43270,"GCA_001968985",NA,2832468384,66792,"38.2",43270
4199,"DSM 16532, JCM 13383, VKM V-2316","Desulfurococcus amylolyticus","Z-1312","Desulfurococcus amylolyticus","Desulfurococcus amylolyticus Bonch-Osmolovskaya et al. 2001",20215,94694,"species","80",6471,"4.8-6.8",23225,NA,NA,NA,"anaerobe",6471,"chemoorganoheterotroph",23225,"GCA_000231015",768672.7,2513020047,66792,"42.5",6471
4200,"DSM 18924, JCM 16383, VKM B-2413","Desulfurococcus amylolyticus","1221n","Desulfurococcus amylolyticus","Desulfurococcus amylolyticus Bonch-Osmolovskaya et al. 2001",20215,94694,"species","82",7778,"5.5-7.5",23226,NA,NA,NA,"anaerobe",7778,"chemoorganoheterotroph",23226,"GCA_000020905",490899.14,643348540,66792,"44.4",7778
4238,"DSM 16958, JCM 12927","Desulfuromonas svalbardensis","112","Desulfuromonas svalbardensis","Desulfuromonas svalbardensis Vandieken et al. 2006",20215,304413,"species","15",6669,"6.5-7.5",23229,NA,NA,NA,"anaerobe",6669,"chemoorganotroph",23229,"",NA,NA,NA,"52.3",6669
4210,"DSM 16956, JCM 12926","Desulfuromusa ferrireducens","102","Desulfuromusa ferrireducens","Desulfuromusa ferrireducens Vandieken et al. 2006",20215,304417,"species","15",6667,"6.5-7.9",23229,NA,NA,NA,"anaerobe",6667,"chemoorganotroph",23229,"",NA,NA,NA,"52.3",6667
132452,"DSM 100305, JCM 30857","Dethiosulfatarculus sandiegensis","SPR","Dethiosulfatarculus sandiegensis","Dethiosulfatarculus sandiegensis Davidova et al. 2016",20215,1429043,"species","15-45",43713,"5.8-8",43713,NA,NA,NA,"obligate anaerobe",43713,"chemoorganotroph",43713,"GCA_000931935",1429043.4,2627853875,67770,"52.02",43713
140692,"NBRC 109595, InaCC B312","Dictyobacter aurantiacus","S-27","Dictyobacter aurantiacus","Dictyobacter aurantiacus Yabe et al. 2017",20215,1936993,"species","20-37",43461,"3.5-8.6",43461,NA,NA,NA,"aerobe",43461,"heterotroph",43461,"GCA_003967515",1936993.3,2840502759,66792,"55.7",43461
140917,"JCM 19990, VKM B-2854","Dissulfurimicrobium hydrothermale","Sh68","Dissulfurimicrobium hydrothermale","Dissulfurimicrobium hydrothermale Slobodkin et al. 2016",20215,1750598,"species","30-65",43784,"5.2-7.5",43784,NA,NA,NA,"anaerobe",43784,"chemoautolithotroph",43784,"GCA_022026155",1750598.3,8046654717,66792,"49",43784
132569,"DSM 100025, VKM B-2960","Dissulfurirhabdus thermomarina","SH388","Dissulfurirhabdus thermomarina","Dissulfurirhabdus thermomarina Slobodkina et al. 2016",20215,1765737,"species","25-58",43947,"5.0-7.0",43947,NA,NA,NA,"anaerobe",43947,"lithoautotroph",43947,"GCA_010499435",1765737.4,8062204097,66792,"64.6",24358
164191,"JCM 32096, BCRC 81069","Dongshaea marina","DM2","Dongshaea marina","Dongshaea marina Huang et al. 2019",20215,2047966,"species","30",67770,"5-9",67775,NA,NA,NA,"facultative anaerobe",67775,"chemoheterotroph",67775,"GCA_003072645",2047966.4,2786546686,66792,"51",67770
17719,"DSM 19836, KCTC 12368, KMM 6172, LMG 23350","Echinicola pacifica","","Echinicola pacifica","Echinicola pacifica Nedashkovskaya et al. 2006",20215,346377,"species","28",8343,"7",31738,NA,NA,NA,"facultative anaerobe",31738,"chemoorganotroph",28014,"GCA_000373245",1121859.3,2515154083,66792,"44-45",31738
133368,"MEBiC 08714, KCTC 52052, JCM 31307","Echinicola strongylocentroti","","Echinicola strongylocentroti","Echinicola strongylocentroti Jung et al. 2017",20215,1795355,"species","20.0-35.0",25221,"6.0-11.0",25221,NA,NA,NA,"aerobe",25221,"heterotroph",25221,"GCA_003260975",1795355.3,2887768817,67770,"44.2",67770
141132,"CGMCC 1.14997, KCTC 39588, EGI 80759","Egibacter rhizosphaerae","","Egibacter rhizosphaerae","Egibacter rhizosphaerae Zhang et al. 2016",20215,1670831,"species","25-50",44045,"7.0-11.0",44045,NA,NA,NA,"aerobe",44045,"chemoorganotroph",44045,"GCA_004322855",1670831.3,2837183177,124043,"72.1",44045
141116,"CGMCC 1.14988, KCTC 33612, EGI 80432, JCM 33036","Egicoccus halophilus","","Egicoccus halophilus","Egicoccus halophilus Zhang et al. 2016",20215,1670830,"species","20-40",44027,"6.0-10.0",44027,NA,NA,NA,"aerobe",44027,"chemoorganotroph",44027,"GCA_004300825",1670830.3,2837221967,67770,"75.2",67770
140464,"JCM 17961, ATCC BAA-1439","Endothiovibrio diazotrophicus","S-1","Endothiovibrio diazotrophicus","Endothiovibrio diazotrophicus Bazylinski et al. 2017",20215,913829,"species","28",43181,"5.2-8.0",43181,NA,NA,NA,"microaerophile",43181,"chemolithoautotroph",43181,"",NA,NA,NA,"67.6",43181
158621,"KCCM 90264, JCM 31644","Epidermidibacterium keratini","EPI-7","Epidermidibacterium keratini","Epidermidibacterium keratini Lee et al. 2018",20215,1891644,"species","15-35",65346,"5-8.5",65346,NA,NA,NA,"aerobe",65346,"chemoheterotroph",65346,"GCA_009834025",1891644.4,2883308892,66792,"68.9",67770
141117,"KCTC 42507, CGMCC 1.15111","Fabivirga thermotolerans","A4","Roseivirga thermotolerans","Roseivirga thermotolerans (Tang et al. 2016) García-López et al. 2020",20215,1758176,"species","25-50",44028,"6.0-9.0",44028,NA,NA,NA,"aerobe",44028,"chemoorganotroph",44028,"GCA_014653175",1758176.3,2995222267,66792,"40.3",44028
132681,"DSM 22923, JCM 16476","Falcatimonas natans","WN011","Falcatimonas natans","Falcatimonas natans Watanabe et al. 2016",20215,433279,"species","15-40",25038,"5.8-7.5",25038,NA,NA,NA,"anaerobe",25038,"chemoorganotroph",25038,"",NA,NA,NA,"38.8",24470
159721,"JCM 30584, NBRC 112974, ATCC TSD-51","Ferrigenium kumadai","An22","Ferrigenium kumadai","Ferrigenium kumadai Khalifa et al. 2018",20215,1682490,"species","12-37",66622,"5.2-6.8",66622,NA,NA,NA,"microaerophile",66622,"lithotroph",66622,"GCA_018324385",1682490.3,2927562029,66792,"61.4",66622
17820,"DSM 19380, JCM 18336, VKM B-2539","Fervidicoccus fontis","Kam940","Fervidicoccus fontis","Fervidicoccus fontis Perevalova et al. 2010",20215,683846,"species","80",8082,"4.5-7",29702,NA,NA,NA,"anaerobe",8082,"organotroph",26085,"GCA_000258425",1163730.6,2513237177,66792,"37",8082
17033,"DSM 5306, ATCC 35602","Fervidobacterium nodosum","Rt17-B1","Fervidobacterium nodosum","Fervidobacterium nodosum Patel et al. 1985",20215,2424,"species","70",1984,"6-8",43352,NA,NA,NA,"anaerobe",1984,"chemoorganotroph",43352,"GCA_000017545",381764.8,640753026,66792,"33.7",1984
133268,"JCM 18757, ATCC BAA-2483, ATCC AA-2483","Fervidobacterium thailandense","FC2004","Fervidobacterium thailandense","Fervidobacterium thailandense Kanoksilapatham et al. 2016",20215,1008305,"species","60.0-88.0",25124,"6.0-8.5",25124,NA,NA,NA,"obligate anaerobe",25124,"organotroph",25124,"GCA_041505935",NA,NA,124043,"45.8",25124
133340,"LMG 29572, VKM B-3045","Fimbriiglobus ruber","SP5","Fimbriiglobus ruber","Fimbriiglobus ruber Kulichevskaya et al. 2017",20215,1908690,"species","10.0-30.0",25181,"4.0-6.8",25181,NA,NA,NA,"aerobe",25181,"chemoheterotroph",25181,"GCA_002197845",1908690.6,2786546892,66792,"60.7",25181
140292,"DSM 100282, LMG 29416","Flaviaesturariibacter luteus","AW305","Flaviaestuariibacter luteus","Flaviaestuariibacter luteus corrig. Pascual et al. 2017",20215,1789691,"species","33-40",43231,"5.3-8.3",43231,NA,NA,NA,"aerobe",43231,"chemoorganoheterotroph",43231,"",NA,NA,NA,"57.6",42899
166438,"KACC 19592, NBRC 113424, IMCC 34759","Flavobacterium cheongpyeongense","","Flavobacterium cheongpyeongense","Flavobacterium cheongpyeongense Joung et al. 2019",20215,2212651,"species","10-30",67777,"7-8",67777,NA,NA,NA,"aerobe",67777,"chemoheterotroph",67777,"GCA_003202435",2212651.3,2938287341,67777,"34.1",67777
140676,"KCTC 42062, JCM 30338, CIP 111715","Flavobacterium fluminis","3R17","Flavobacterium fluminis","Flavobacterium fluminis Ahn et al. 2017",20215,1433257,"species","4-30",43440,"6-9",43440,NA,NA,NA,"aerobe",43440,"chemoorganotroph",43440,"",NA,NA,NA,"35.4",43440
166439,"KACC 19591, NBRC 113423, IMCC 34758","Flavobacterium hydrophilum","","Flavobacterium hydrophilum","Flavobacterium hydrophilum Joung et al. 2019",20215,2211445,"species","10-30",67777,"7-8",67777,NA,NA,NA,"aerobe",67777,"chemoheterotroph",67777,"GCA_003202405",2211445.3,2876983277,67777,"34",67777
140526,"KCTC 52245, JCM 31384, IMCC 26223","Flavobacterium soyangense","","Flavobacterium soyangense","Flavobacterium soyangense Nam et al. 2017",20215,2023265,"species","26",43300,"6-8",43300,NA,NA,NA,"aerobe",43300,"chemoheterotroph",43300,"",NA,NA,NA,"34.5",43300
133330,"BCRC 80926, LMG 29292, KCTC 33763","Flectobacillus fontis","MIB-4","Flectobacillus fontis","Flectobacillus fontis Chen et al. 2017",20215,1737445,"species","15.0-30.0",25183,"7.0-8.0",25183,NA,NA,NA,"aerobe",25183,"chemoheterotroph",25183,"",NA,NA,NA,"37.6",25183
140919,"JCM 30897, CGMCC 1.5202, TC 1","Flexilinea flocculi","","Flexilinea flocculi","Flexilinea flocculi Sun et al. 2016",20215,1678840,"species","25-43",43788,"6-8.5",43788,NA,NA,NA,"obligate anaerobe",43788,"chemoorganotroph",43788,"",NA,NA,NA,"42.1",67770
133320,"BCRC 80690, LMG 27847, KCTC 32501, DSM 109231","Formosimonas limnophila","AHQ-12","Formosimonas limnophila","Formosimonas limnophila Chen et al. 2017",20215,1384487,"species","10.0-37.0",25149,"5.0-9.0",25149,NA,NA,NA,"aerobe",25149,"chemolithotroph",25149,"GCA_014652675",1384487.3,2923739291,66792,"50.4",64838
131722,"DSM 45986, CECT 9034","Frankia alni","ACN14a, ULQ010201401","Frankia alni","Frankia alni (Woronin 1866) Von Tubeuf 1895 (Approved Lists 1980)",20215,1859,"species","28",23518,"6.3-6.8",25097,NA,NA,NA,"aerobe",25097,"heterotroph",25097,"GCA_000058485",326424.15,637000115,66792,"72.8",25097
141096,"DSM 100626, CECT 9040, NRRL B-16386","Frankia asymbiotica","M16386","Frankia asymbiotica","Frankia asymbiotica Nouioui et al. 2017",20215,1834516,"species","28",64973,"6.3-6.8",44005,NA,NA,NA,"aerobe",44005,"heterotroph",44005,"GCA_001983105",NA,2773857921,124043,"72",44005
131723,"DSM 45818, CECT 9043","Frankia casuarinae","Ccl3, HFP020203, HFPCcl3","Frankia casuarinae","Frankia casuarinae Nouioui et al. 2016",20215,106370,"species","28",25097,"6.3-6.8",25097,NA,NA,NA,"aerobe",25097,"heterotroph",25097,"",NA,NA,NA,"70.1",25097
133112,"CECT 9032, DSM 100624","Frankia coriariae","BMG5.1","Frankia coriariae","Frankia coriariae Nouioui et al. 2017",20215,1562887,"species","25-30",25292,"7.0-9.5",25292,NA,NA,NA,"aerobe",25292,"chemoorganotroph",25292,"GCA_001017755",NA,2700989114,66792,"70.2",64846
131724,"DSM 46783, CECT 9031","Frankia elaeagni","BMG5.12","Frankia elaeagni","Frankia elaeagni Nouioui et al. 2016",20215,222534,"species","28",25097,"6.3-6.8",25097,NA,NA,NA,"aerobe",25097,"heterotroph",25097,"GCA_000374165",222534.3,2517093007,66792,"71.7",25097
158372,"DSM 45899, CECT 9038","Frankia irregularis","G2","Frankia irregularis","Frankia irregularis Nouioui et al. 2018",20215,795642,"species","28",65048,"6.3-6.8",66647,NA,NA,NA,"aerobe",66647,"chemoorganotroph",66647,"GCA_001536285",1747450.3,2634166352,66792,"70.90",66647
166983,"CECT 9407, VKM B-3467","Frigoriglobus tundricola","PL17","Frigoriglobus tundricola","Frigoriglobus tundricola Kulichevskaya et al. 2021",20215,2774151,"species","4-28",69637,"4.2-6.8",69637,NA,NA,NA,"obligate aerobe",69637,"chemoorganotroph",69637,"GCA_013128195",2774151.4,2999849193,66792,"67.4",69637
141097,"KCTC 52666, NBRC 112695","Frondibacter mangrovi","02OK1/10-76","Frondibacter mangrovi","Frondibacter mangrovi Yoon et al. 2017",20215,1968282,"species","10-37",44006,"5.5-9.5",44006,NA,NA,NA,"obligate aerobe",44006,"chemoheterotroph",44006,"",NA,NA,NA,"35",44006
1452,"DSM 15726, LMG 23069, VKM B-2301","Geobacillus jurassicus","DS1, R-35651","Geobacillus jurassicus","Geobacillus jurassicus Nazina et al. 2005",20215,235932,"species","55",6084,"5.0-9.0",23042,NA,NA,NA,"aerobe",23042,"chemoorganotroph",23042,"",NA,NA,NA,"54.5",6084
1437,"DSM 7263, ATCC 8005, NCIMB 8547, NRRL NRS-81, CCUG 28890, CIP 106929, LMG 9819, NCCB 30003, JCM 20319, BCRC 11223, IAM 11001, NBRC 102445","Geobacillus kaustophilus","BD 53, T 281, NRS-81","Geobacillus kaustophilus","Geobacillus kaustophilus (Priest et al. 1989 ex Prickett 1928) Nazina et al. 2001",20215,1462,"species","55",3082,"6.0-8.5",23044,NA,NA,NA,"aerobe",49445,"chemoorganotroph",23044,"GCA_005160065",1220595.8,2843255297,66792,"",NA
1450,"DSM 15325","Geobacillus lituanicus","N-3","Geobacillus lituanicus","Geobacillus lituanicus Kuisiene et al. 2004",20215,169283,"species","55",5846,"6.5",23036,NA,NA,NA,"aerobe",23036,"chemoorganotroph",23036,"GCA_002243605",169283.5,2758568037,66792,"52.5",5846
166233,"VKM B-3132, KCTC 33986","Geobacillus proteiniphilus","1017","Geobacillus proteiniphilus","Geobacillus proteiniphilus Semenova et al. 2019",20215,860353,"species","40-68",67979,"5.8-8.0",67979,NA,NA,NA,"aerobe",67979,"chemoorganotroph",67979,"GCA_001908025",NA,2858576625,67979,"51.8",67979
1419,"DSM 22, ATCC 12980, CCM 2062, CCUG 26241, IAM 11062, LMG 6939, NBRC 12550, NCIMB 8923, NCTC 10339, VKM B-2231, IFO 12550, NCA 26, JCM 2501, BCRC 11092, CIP 66.23, KCTC 1665, KCTC 1752, NCFB 1768, NRRL B-1172, VKM B-510, VTT E-81128, UCCCB118, NCDO 1768","Geobacillus stearothermophilus","R-35646, 26","Geobacillus stearothermophilus","Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001",20215,1422,"species","60",22918,"9",22918,NA,NA,NA,"facultative anaerobe",123299,"chemoorganotroph",23042,"GCA_001277805",1366047.4,2654587565,67770,"52.8",2023
1773,"DSM 17458, CCTCC AB 204065, KCTC 19029, NBRC 103883, YIM 004, JCM 15130","Georgenia ruanii","","Georgenia ruanii","Georgenia ruanii Li et al. 2007",20215,348442,"species","28",19749,"6.5",23157,NA,NA,NA,"aerobe",67771,"chemoorganotroph",23157,"GCA_039530665",NA,NA,124043,"72.9",6997
133133,"CCOS 955, CIP 111027, NBRC 111234, NCCP 16210, JCM 31934, NCTC 13704","Gordonia hongkongensis","HKU50","Gordonia hongkongensis","Gordonia hongkongensis Tsang et al. 2016",20215,1701090,"species","37",24904,"7.5",24904,NA,NA,NA,"aerobe",24904,"chemoorganoheterotroph",24904,"GCA_023078355",1701090.6,NA,66792,"67",24904
2537,"DSM 604, ATCC 7906, IMG 1642, KCTC 5404","Gottschalkia acidurici","9a","Gottschalkia acidurici","Gottschalkia acidurici (Liebert 1909) Poehlein et al. 2017",20215,1556,"species","37",316,"7.6-8.1",43456,NA,NA,NA,"anaerobe",316,"chemoorganotroph",43456,"GCA_000299355",1128398.3,2517487003,66792,"27.8",316
2650,"DSM 1384, ATCC 33906, WA 1","Gottschalkia purinilytica","","Clostridium purinilyticum","Clostridium purinilyticum corrig. Dürre et al. 1981",20215,1503,"species","35",759,"7.3-7.8",43456,NA,NA,NA,"anaerobe",759,"chemoorganotroph",43456,"GCA_001190785",1503.6,2645727973,66792,"29.0",759
1459,"DSM 11125, NCFB 3027, CIP 105095","Gracilibacillus dipsosauri","DD1","Gracilibacillus dipsosauri","Gracilibacillus dipsosauri (Lawson et al. 1996) Wainø et al. 1999",20215,178340,"species","30",4217,"6",118943,NA,NA,NA,"obligate aerobe",118943,"chemoorganotroph",23041,"GCA_003176895",178340.4,NA,66792,"39.4",4217
1460,"DSM 11805, JCM 10718, ATCC 700849","Gracilibacillus halotolerans","NN","Gracilibacillus halotolerans","Gracilibacillus halotolerans Wainø et al. 1999",20215,74386,"species","30",4494,"5.0-10.0",23041,NA,NA,NA,"obligate aerobe",23041,"chemoorganotroph",23041,"GCA_014206945",74386.3,2829726240,66792,"38",23041
